participant_id,trial_num,option_a,option_b,target,option_a_file,option_b_file,target_file
1,1,144a,144b,167a,144a_L-B_MdP_final_nocolor.png,144b_L-B_MdP_final_nocolor.png,167a_GG_MB_2021_MdAM_final_nocolor.png
1,2,144a,360a,626a,144a_L-B_MdP_final_nocolor.png,360a_Gonn_AP_Monrepos_final_nocolor.png,626a_Gonn_AP_Monrepos_final_nocolor.png
1,3,167b,84a,73b,167b_GG_MB_2021_MdAM_final_nocolor.png,84a_Gonn_AP_Monrepos_final_nocolor.png,73b_Gonn_AP_Monrepos_final_nocolor.png
1,4,144a,370a,241a,144a_L-B_MdP_final_nocolor.png,370a_Gonn_AP_Monrepos_final_nocolor.png,241a_Badegoule_MdP_Pr.A.png
1,5,355a,484a,202b,355a_Gonn_AP_Monrepos_final_nocolor.png,484a_Gonn_AP_Monrepos_final_nocolor.png,202b_final_nocolor.png
1,6,226a,226b,626a,226a_Aguas_Sant_Final_nocolor.png,226b_Aguas_Santander_final_nocolor.png,626a_Gonn_AP_Monrepos_final_nocolor.png
1,7,226a,555a,144b,226a_Aguas_Sant_Final_nocolor.png,555a_Gonn_AP_Monrepos_final_nocolor.png,144b_L-B_MdP_final_nocolor.png
1,8,73a,73b,202a,73a_Gonn_AP_Monrepos_final_nocolor.png,73b_Gonn_AP_Monrepos_final_nocolor.png,202a_final_nocolor.png
1,9,353a,360a,73b,353a_Gonn_AP_Monrepos_final_nocolor.png,360a_Gonn_AP_Monrepos_final_nocolor.png,73b_Gonn_AP_Monrepos_final_nocolor.png
1,10,555a,70b,626a,555a_Gonn_AP_Monrepos_final_nocolor.png,70b_Gonn_AP_Monrepos_final_nocolor.png,626a_Gonn_AP_Monrepos_final_nocolor.png
1,11,418a,552a,484a,418a_Gonn_AP_Monrepos_final_nocolor.png,552a_Gonn_AP_Monrepos_final_nocolor.png,484a_Gonn_AP_Monrepos_final_nocolor.png
1,12,355a,420b,631a,355a_Gonn_AP_Monrepos_final_nocolor.png,420b_Gonn_AP_Monrepos_final_nocolor.png,631a_Gonn_AP_Monrepos_final_nocolor.png
1,13,552a,70b,93a,552a_Gonn_AP_Monrepos_final_nocolor.png,70b_Gonn_AP_Monrepos_final_nocolor.png,93a_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor.png
1,14,307b,73a,93b,307b_Gonn_AP_Monrepos_final_nocolor.png,73a_Gonn_AP_Monrepos_final_nocolor.png,93b_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor.png
1,15,626a,84a,167b,626a_Gonn_AP_Monrepos_final_nocolor.png,84a_Gonn_AP_Monrepos_final_nocolor.png,167b_GG_MB_2021_MdAM_final_nocolor.png
1,16,144a,84a,73a,144a_L-B_MdP_final_nocolor.png,84a_Gonn_AP_Monrepos_final_nocolor.png,73a_Gonn_AP_Monrepos_final_nocolor.png
1,17,355a,93b,226b,355a_Gonn_AP_Monrepos_final_nocolor.png,93b_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor.png,226b_Aguas_Santander_final_nocolor.png
1,18,226a,370a,431a,226a_Aguas_Sant_Final_nocolor.png,370a_Gonn_AP_Monrepos_final_nocolor.png,431a_Gonn_AP_Monrepos_final_nocolor.png
1,19,307b,84a,360a,307b_Gonn_AP_Monrepos_final_nocolor.png,84a_Gonn_AP_Monrepos_final_nocolor.png,360a_Gonn_AP_Monrepos_final_nocolor.png
1,20,186a,307a,93b,186a_GG_MB_2021_MdAM_final_nocolor.png,307a_Gonn_AP_Monrepos_final_nocolor.png,93b_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor.png
1,21,431a,70a,241b,431a_Gonn_AP_Monrepos_final_nocolor.png,70a_Gonn_AP_Monrepos_final_nocolor.png,241b_Badegoule_MdP_Pr.A.png
1,22,144b,151b,93a,144b_L-B_MdP_final_nocolor.png,151b_PC_DSC00570_final_nocolor.png,93a_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor.png
1,23,167b,186a,370a,167b_GG_MB_2021_MdAM_final_nocolor.png,186a_GG_MB_2021_MdAM_final_nocolor.png,370a_Gonn_AP_Monrepos_final_nocolor.png
1,24,151a,431a,355a,151a MdA_final_nocolor.png,431a_Gonn_AP_Monrepos_final_nocolor.png,355a_Gonn_AP_Monrepos_final_nocolor.png
1,25,201a,226b,186b,201a_Peters_Graziosi 1960_final_nocolor.png,226b_Aguas_Santander_final_nocolor.png,186b_GG_MB_2021_MdAM_final_nocolor.png
1,26,241a,420b,226b,241a_Badegoule_MdP_Pr.A.png,420b_Gonn_AP_Monrepos_final_nocolor.png,226b_Aguas_Santander_final_nocolor.png
1,27,552a,631a,370a,552a_Gonn_AP_Monrepos_final_nocolor.png,631a_Gonn_AP_Monrepos_final_nocolor.png,370a_Gonn_AP_Monrepos_final_nocolor.png
1,28,144b,201a,202b,144b_L-B_MdP_final_nocolor.png,201a_Peters_Graziosi 1960_final_nocolor.png,202b_final_nocolor.png
1,29,186a,370a,420a,186a_GG_MB_2021_MdAM_final_nocolor.png,370a_Gonn_AP_Monrepos_final_nocolor.png,420a_Gonn_AP_Monrepos_final_nocolor.png
1,30,241a,73b,420a,241a_Badegoule_MdP_Pr.A.png,73b_Gonn_AP_Monrepos_final_nocolor.png,420a_Gonn_AP_Monrepos_final_nocolor.png
1,31,144a,420a,226b,144a_L-B_MdP_final_nocolor.png,420a_Gonn_AP_Monrepos_final_nocolor.png,226b_Aguas_Santander_final_nocolor.png
1,32,202b,73b,626a,202b_final_nocolor.png,73b_Gonn_AP_Monrepos_final_nocolor.png,626a_Gonn_AP_Monrepos_final_nocolor.png
1,33,201a,70a,552a,201a_Peters_Graziosi 1960_final_nocolor.png,70a_Gonn_AP_Monrepos_final_nocolor.png,552a_Gonn_AP_Monrepos_final_nocolor.png
1,34,418a,420a,370a,418a_Gonn_AP_Monrepos_final_nocolor.png,420a_Gonn_AP_Monrepos_final_nocolor.png,370a_Gonn_AP_Monrepos_final_nocolor.png
1,35,555a,84a,370a,555a_Gonn_AP_Monrepos_final_nocolor.png,84a_Gonn_AP_Monrepos_final_nocolor.png,370a_Gonn_AP_Monrepos_final_nocolor.png
1,36,226a,307a,93a,226a_Aguas_Sant_Final_nocolor.png,307a_Gonn_AP_Monrepos_final_nocolor.png,93a_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor.png
1,37,484a,626a,151b,484a_Gonn_AP_Monrepos_final_nocolor.png,626a_Gonn_AP_Monrepos_final_nocolor.png,151b_PC_DSC00570_final_nocolor.png
1,38,167a,93a,241b,167a_GG_MB_2021_MdAM_final_nocolor.png,93a_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor.png,241b_Badegoule_MdP_Pr.A.png
1,39,370a,431a,73b,370a_Gonn_AP_Monrepos_final_nocolor.png,431a_Gonn_AP_Monrepos_final_nocolor.png,73b_Gonn_AP_Monrepos_final_nocolor.png
1,40,241a,355a,484a,241a_Badegoule_MdP_Pr.A.png,355a_Gonn_AP_Monrepos_final_nocolor.png,484a_Gonn_AP_Monrepos_final_nocolor.png
1,41,418a,631a,307a,418a_Gonn_AP_Monrepos_final_nocolor.png,631a_Gonn_AP_Monrepos_final_nocolor.png,307a_Gonn_AP_Monrepos_final_nocolor.png
1,42,353a,420a,431a,353a_Gonn_AP_Monrepos_final_nocolor.png,420a_Gonn_AP_Monrepos_final_nocolor.png,431a_Gonn_AP_Monrepos_final_nocolor.png
1,43,353a,73b,201a,353a_Gonn_AP_Monrepos_final_nocolor.png,73b_Gonn_AP_Monrepos_final_nocolor.png,201a_Peters_Graziosi 1960_final_nocolor.png
1,44,360a,552a,353a,360a_Gonn_AP_Monrepos_final_nocolor.png,552a_Gonn_AP_Monrepos_final_nocolor.png,353a_Gonn_AP_Monrepos_final_nocolor.png
1,45,167b,70b,418a,167b_GG_MB_2021_MdAM_final_nocolor.png,70b_Gonn_AP_Monrepos_final_nocolor.png,418a_Gonn_AP_Monrepos_final_nocolor.png
1,46,484a,555a,167a,484a_Gonn_AP_Monrepos_final_nocolor.png,555a_Gonn_AP_Monrepos_final_nocolor.png,167a_GG_MB_2021_MdAM_final_nocolor.png
1,47,167a,93a,552a,167a_GG_MB_2021_MdAM_final_nocolor.png,93a_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor.png,552a_Gonn_AP_Monrepos_final_nocolor.png
1,48,202a,241b,307b,202a_final_nocolor.png,241b_Badegoule_MdP_Pr.A.png,307b_Gonn_AP_Monrepos_final_nocolor.png
1,49,431a,70b,186b,431a_Gonn_AP_Monrepos_final_nocolor.png,70b_Gonn_AP_Monrepos_final_nocolor.png,186b_GG_MB_2021_MdAM_final_nocolor.png
1,50,307b,360a,552a,307b_Gonn_AP_Monrepos_final_nocolor.png,360a_Gonn_AP_Monrepos_final_nocolor.png,552a_Gonn_AP_Monrepos_final_nocolor.png
1,51,186b,484a,186a,186b_GG_MB_2021_MdAM_final_nocolor.png,484a_Gonn_AP_Monrepos_final_nocolor.png,186a_GG_MB_2021_MdAM_final_nocolor.png
1,52,355a,431a,144b,355a_Gonn_AP_Monrepos_final_nocolor.png,431a_Gonn_AP_Monrepos_final_nocolor.png,144b_L-B_MdP_final_nocolor.png
1,53,167b,484a,631a,167b_GG_MB_2021_MdAM_final_nocolor.png,484a_Gonn_AP_Monrepos_final_nocolor.png,631a_Gonn_AP_Monrepos_final_nocolor.png
1,54,201a,226b,70b,201a_Peters_Graziosi 1960_final_nocolor.png,226b_Aguas_Santander_final_nocolor.png,70b_Gonn_AP_Monrepos_final_nocolor.png
1,55,202a,353a,631a,202a_final_nocolor.png,353a_Gonn_AP_Monrepos_final_nocolor.png,631a_Gonn_AP_Monrepos_final_nocolor.png
1,56,353a,552a,84a,353a_Gonn_AP_Monrepos_final_nocolor.png,552a_Gonn_AP_Monrepos_final_nocolor.png,84a_Gonn_AP_Monrepos_final_nocolor.png
1,57,167a,552a,420a,167a_GG_MB_2021_MdAM_final_nocolor.png,552a_Gonn_AP_Monrepos_final_nocolor.png,420a_Gonn_AP_Monrepos_final_nocolor.png
1,58,355a,418a,307b,355a_Gonn_AP_Monrepos_final_nocolor.png,418a_Gonn_AP_Monrepos_final_nocolor.png,307b_Gonn_AP_Monrepos_final_nocolor.png
1,59,144a,167b,70b,144a_L-B_MdP_final_nocolor.png,167b_GG_MB_2021_MdAM_final_nocolor.png,70b_Gonn_AP_Monrepos_final_nocolor.png
1,60,144b,202b,431a,144b_L-B_MdP_final_nocolor.png,202b_final_nocolor.png,431a_Gonn_AP_Monrepos_final_nocolor.png
1,61,202b,226b,418a,202b_final_nocolor.png,226b_Aguas_Santander_final_nocolor.png,418a_Gonn_AP_Monrepos_final_nocolor.png
1,62,355a,70b,186a,355a_Gonn_AP_Monrepos_final_nocolor.png,70b_Gonn_AP_Monrepos_final_nocolor.png,186a_GG_MB_2021_MdAM_final_nocolor.png
1,63,151a,552a,167a,151a MdA_final_nocolor.png,552a_Gonn_AP_Monrepos_final_nocolor.png,167a_GG_MB_2021_MdAM_final_nocolor.png
1,64,226b,431a,73b,226b_Aguas_Santander_final_nocolor.png,431a_Gonn_AP_Monrepos_final_nocolor.png,73b_Gonn_AP_Monrepos_final_nocolor.png
